Metrics,Single Frame (k=1),Frame Stacking (k=4)
Network Input Dim,"2 (x, y)","8 (x1, y1 ... x4, y4)"
Collision Rate (Last 100 Eps),~ 68.4%,< 2.1%
Tracking/Avoidance Error (m),1.85 ± 0.42,0.12 ± 0.03
Convergence Speed,Failed to Converge,~ 150 Episodes
Reward Variance (Late Stage),24.79,3.84
